insight,UC
BalanceIsTooLow,"1,5,6,7"
DuplicateTransactionCharge,"3,6,9"
DuplicateTransactionTransfer,"1,2"
DuplicateTransactionWithdrawal,"1,2,3"
HighDailyPurchases,1
IntroducePersonetics,1
NewMerchantHighAmount,"1,2,3,4,5,6,7"
NewMerchants,"1,3,5,6"
NotifyAutoExternalTransferDeducted,"1,2,4"
NotifyCheckDeposit,"1,2,4"
NotifyLargeDeposit,"1,2,4"
NotifyNegativeBalance,"1,2"
NotifyRefund,"1,2,4"
NotifyRefundFeeChecking,"1,2,4"
NotifyTaxDeposit,"1,2,4"
NotifyTransferDeclined,"1,2"
ProviderHigherThanUsual,1
ProviderLowerThanUsual,1
RegularDepositChange,"1,2"
RegularDepositNotCredited,3
RemindPaymentTransfer,"1,2,3"
SpendTrackerAccount,"1,2,3"
SpendTrackerUser,"1,2,3,4,5,6"
